,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Kemijarvi,FI,66.7131,27.4306,46.76,48,100,13.18,overcast clouds
202,Turayf,SA,31.6725,38.6637,95.25,13,0,11.5,clear sky
203,Carahue,CL,-38.7,-73.1667,50.0,100,75,9.22,broken clouds
204,Mahibadhoo,MV,3.7833,72.9667,83.91,74,99,22.26,overcast clouds
205,Caconda,AO,-13.7333,15.0667,76.71,18,0,5.03,clear sky
206,Coihueco,CL,-36.6167,-71.8333,47.14,91,90,3.58,overcast clouds
207,Nykoping,SE,58.753,17.0079,61.43,47,20,4.61,few clouds
208,Vila Velha,BR,-20.3297,-40.2925,78.75,85,40,5.01,scattered clouds
209,Ancud,CL,-41.8697,-73.8203,48.42,74,100,13.85,overcast clouds
210,Port Blair,IN,11.6667,92.75,82.56,81,100,4.83,overcast clouds
211,Abomsa,ET,9.9833,39.9833,90.61,11,0,19.28,clear sky
212,Bentiu,SS,9.2333,29.8333,100.11,25,81,1.92,broken clouds
213,Bandarbeyla,SO,9.4942,50.8122,83.07,71,70,25.08,broken clouds
214,Chapais,CA,49.7834,-74.8492,32.0,64,75,12.66,broken clouds
215,Puerto Colombia,CO,10.9878,-74.9547,78.8,89,75,2.3,broken clouds
216,Puerto Rico,AR,-26.796,-55.024,68.68,95,26,4.97,scattered clouds
217,Changji,CN,44.0167,87.3167,79.59,38,75,15.03,light rain
218,Prieska,ZA,-29.6641,22.7474,68.86,16,0,16.31,clear sky
219,Petrozavodsk,RU,61.7849,34.3469,54.86,71,75,9.91,light rain
220,Jizan,SA,17.3333,42.6667,97.74,29,7,15.46,clear sky
221,Gardabani,GE,41.4605,45.0928,77.09,64,100,5.53,light rain
222,Bluefields,NI,12.0137,-83.7635,80.6,94,40,9.22,scattered clouds
223,Bumba,CD,2.1833,22.4667,88.84,49,100,1.95,overcast clouds
224,Nosy Varika,MG,-20.5833,48.5333,75.15,73,0,7.99,clear sky
225,Floro,NO,61.5996,5.0328,73.24,55,0,10.36,clear sky
226,Sechura,PE,-5.5569,-80.8222,69.62,83,36,10.25,scattered clouds
227,Sandy Bay,AU,-42.913,147.3532,45.3,70,75,6.8,broken clouds
228,Dhidhdhoo,MV,6.8833,73.1,83.61,75,74,19.26,broken clouds
229,Point Pedro,LK,9.8167,80.2333,84.02,72,13,16.75,few clouds
230,Altamira,BR,-3.2033,-52.2064,84.29,79,75,5.75,broken clouds
231,Borsa,RO,47.6553,24.6633,58.91,96,100,2.62,light rain
232,Penzance,GB,50.1186,-5.5371,58.32,77,40,13.8,scattered clouds
233,General Roca,AR,-39.0333,-67.5833,46.8,50,96,28.39,overcast clouds
234,San Felipe,VE,10.3399,-68.7425,78.33,83,73,1.79,broken clouds
235,Adrar,MR,20.5022,-10.0711,105.08,10,9,12.03,clear sky
236,Eldersburg,US,39.4037,-76.9503,68.34,66,69,3.0,broken clouds
237,Jhang,PK,33.6748,72.6963,104.61,9,0,6.98,clear sky
238,Zary,PL,51.6421,15.1373,57.65,89,100,4.0,overcast clouds
239,Pachino,IT,36.7186,15.0907,86.04,63,5,13.02,clear sky
240,Magnitka,RU,55.3475,59.6961,74.41,35,8,6.2,clear sky
241,Kutum,SD,14.2,24.6667,96.46,8,43,10.58,scattered clouds
242,Punta Umbria,ES,37.1821,-6.9661,76.12,51,50,9.86,scattered clouds
243,Grand-Lahou,CI,5.1367,-5.0242,86.43,65,63,7.11,broken clouds
244,Gambela,ET,8.25,34.5833,89.4,46,36,2.3,scattered clouds
245,Shar,KZ,49.5886,81.0453,66.2,37,0,10.31,clear sky
246,Camabatela,AO,-8.1881,15.375,84.27,25,100,5.08,overcast clouds
247,Machali,CL,-34.1833,-70.6667,55.02,64,6,0.78,clear sky
248,Margate,GB,51.3813,1.3862,65.32,71,99,7.4,overcast clouds
249,Terrak,NO,65.087,12.3715,50.02,62,85,8.03,overcast clouds
250,Karaton,ID,-6.3424,106.1045,84.96,87,94,2.21,overcast clouds
251,Teberda,RU,43.4456,41.7448,69.22,42,7,2.46,clear sky
252,Barcelos,PT,41.5388,-8.6151,80.28,56,23,8.32,few clouds
253,Meulaboh,ID,4.1363,96.1285,78.21,89,100,8.12,overcast clouds
254,Madras,IN,13.0878,80.2785,91.0,55,20,10.36,few clouds
255,Prerov,CZ,49.4551,17.4509,66.92,48,97,15.99,overcast clouds
256,Odweyne,SO,9.4092,45.064,82.17,40,100,15.12,overcast clouds
257,Karasjok,NO,69.4719,25.5112,39.31,73,100,23.62,overcast clouds
258,San Carlos De Bariloche,AR,-41.1456,-71.3082,44.35,76,75,12.91,moderate rain
259,Lircay,PE,-12.9896,-74.7205,41.54,66,21,0.6,few clouds
260,Sinop,TR,41.7711,34.8709,59.43,69,95,2.08,light rain
261,Sibut,CF,5.718,19.0739,92.66,43,42,5.08,scattered clouds
262,Aktas,KZ,49.7789,72.9608,73.15,26,0,11.41,clear sky
263,Alenquer,BR,-1.9417,-54.7383,82.74,66,13,2.28,few clouds
264,Riachao,BR,-7.3619,-46.6172,82.9,41,92,7.34,overcast clouds
265,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,67,20,5.53,few clouds
266,Diamantino,BR,-14.4086,-56.4461,81.5,52,100,8.41,overcast clouds
267,Arkhipo-Osipovka,RU,44.37,38.52,72.36,64,89,3.6,overcast clouds
268,Roald,NO,62.5833,6.1333,68.16,67,20,19.57,few clouds
269,Kaka,TM,37.3482,59.6143,96.21,17,6,7.63,clear sky
270,El Dorado,US,38.7666,-120.5177,59.02,38,0,1.99,clear sky
271,Quelimane,MZ,-17.8786,36.8883,80.6,50,75,3.44,broken clouds
272,Lucea,JM,18.451,-78.1736,81.86,76,93,6.78,overcast clouds
273,Beyneu,KZ,45.3167,55.2,90.18,22,0,4.41,clear sky
274,Coihaique,CL,-45.5752,-72.0662,38.01,100,75,3.44,broken clouds
275,Cadillac,US,44.2519,-85.4012,40.17,93,90,18.41,overcast clouds
276,Bjornevatn,NO,69.6672,29.9847,40.62,52,75,13.8,light rain
277,Iberia,US,29.9502,-91.7507,75.0,100,1,5.86,mist
