,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
630,Khakhea,BW,76.69,clear sky,-24.6895,23.494,
632,Ampanihy,MG,82.22,clear sky,-24.7,44.75,Angora Hotel
636,Charleston,US,81.0,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
637,Emba,KZ,88.0,broken clouds,48.8264,58.1442,
640,Sinnamary,GF,78.6,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
641,Zafra,ES,84.43,scattered clouds,38.4167,-6.4167,Parador de Zafra
642,Mineiros,BR,80.92,overcast clouds,-17.5694,-52.5511,Pilões Palace Hotel
645,Zhezkazgan,KZ,82.4,clear sky,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
646,Maracacume,BR,87.1,clear sky,-2.0428,-45.9592,Hotel Ramos
649,Xuddur,SO,83.26,overcast clouds,4.1213,43.8894,Banjanay Hotel
652,Rock Sound,BS,77.0,overcast clouds,24.9,-76.2,Rock Sound Club
655,Misratah,LY,84.99,clear sky,32.3754,15.0925,فندق الماسة
659,San Lawrenz,MT,78.21,few clouds,36.0553,14.204,San Andrea Hotel
660,Resistencia,AR,77.09,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
661,Iquitos,PE,75.24,clear sky,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
663,Ankazoabo,MG,81.59,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
668,Wilmington,US,82.98,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
671,Mazagao,BR,82.45,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
672,Muisne,EC,76.86,overcast clouds,0.6,-80.0333,Quinta Samay
673,Caxito,AO,83.05,broken clouds,-8.5785,13.6643,
674,Lucapa,AO,87.44,clear sky,-8.4192,20.7447,Residência Ulisses Dos Santos
677,Louis Trichardt,ZA,79.77,clear sky,-23.0439,29.9032,139 on Munnik Guest House
681,San Esteban,HN,76.1,overcast clouds,15.2,-85.75,TORO MUERTO
682,Morant Bay,JM,82.02,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
683,Los Algarrobos,PA,84.45,scattered clouds,8.5,-82.4333,Waterfall Hostel
688,Grajau,BR,83.97,broken clouds,-5.8194,-46.1386,Hotel Confiança
696,Porto Novo,BJ,89.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
699,Arsk,RU,76.78,clear sky,56.0915,49.8778,Gostinitsa Zapadnyy
703,Chalmette,US,80.01,few clouds,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
704,Rameswaram,IN,84.34,broken clouds,9.2833,79.3,Daiwik Hotels Rameswaram
